sample_name	sample_accession
2538.1001436	ERS1973441
2538.1001435	ERS1973440
2538.1001434	ERS1973439
2538.1002410	ERS1973564
2538.1001432	ERS1973437
2538.1003419	ERS1973703
2538.1002413	ERS1973567
2538.1001020	ERS1973263
2538.1001021	ERS1973264
2538.1001022	ERS1973265
2538.1002417	ERS1973569
2538.1001024	ERS1973267
2538.1001025	ERS1973268
2538.1000519	ERS1973068
2538.1000518	ERS1973067
2538.1001028	ERS1973271
2538.1001029	ERS1973272
2538.1000515	ERS1973066
2538.1000513	ERS1973065
2538.1001182	ERS1973362
2538.1001181	ERS1973361
2538.1002411	ERS1973565
2538.1001431	ERS1973436
2538.1000963	ERS1973236
2538.1003418	ERS1973702
2538.1002108	ERS1973505
2538.1000823	ERS1973149
2538.1000822	ERS1973148
2538.1000124	ERS1972976
2538.1000820	ERS1973146
2538.1000827	ERS1973153
2538.1000826	ERS1973152
2538.1000825	ERS1973151
2538.1000824	ERS1973150
2538.1000966	ERS1973239
2538.1000829	ERS1973155
2538.1000828	ERS1973154
2538.1000128	ERS1972980
2538.1000967	ERS1973240
2538.1001023	ERS1973266
2538.1000964	ERS1973237
2538.1001212	ERS1973369
2538.1003730	ERS1973778
2538.1000622	ERS1973093
2538.1001235	ERS1973386
2538.1002425	ERS1973577
2538.1001237	ERS1973388
2538.1001236	ERS1973387
2538.1000831	ERS1973157
2538.1001230	ERS1973383
2538.1002424	ERS1973576
2538.1001334	ERS1973413
2538.1001335	ERS1973414
2538.1001336	ERS1973415
2538.1001337	ERS1973416
2538.1001330	ERS1973409
2538.1001331	ERS1973410
2538.1001332	ERS1973411
2538.1001333	ERS1973412
2538.1003524	ERS1973734
2538.1003523	ERS1973733
2538.1003522	ERS1973732
2538.1000229	ERS1973011
2538.1002529	ERS1973597
2538.1003521	ERS1973731
2538.1002131	ERS1973525
2538.1002520	ERS1973593
2538.1000956	ERS1973235
2538.1000955	ERS1973234
2538.1000954	ERS1973233
2538.1000225	ERS1973008
2538.1000224	ERS1973007
2538.1002526	ERS1973596
2538.1000950	ERS1973229
2538.1000632	ERS1973099
2538.1000633	ERS1973100
2538.1000630	ERS1973097
2538.1000631	ERS1973098
2538.1000636	ERS1973101
2538.1000637	ERS1973102
2538.1000638	ERS1973103
2538.1001180	ERS1973360
2538.1003129	ERS1973648
2538.1001015	ERS1973258
2538.1001014	ERS1973257
2538.1002109	ERS1973506
2538.1002008	ERS1973475
2538.1001017	ERS1973260
2538.1002003	ERS1973470
2538.1002002	ERS1973469
2538.1002001	ERS1973468
2538.1003528	ERS1973737
2538.1002007	ERS1973474
2538.1000919	ERS1973204
2538.1002005	ERS1973472
2538.1002004	ERS1973471
2538.1003606	ERS1973744
2538.1001159	ERS1973345
2538.1003604	ERS1973742
2538.1003605	ERS1973743
2538.1003602	None
2538.1003603	ERS1973741
2538.1003601	ERS1973740
2538.1001150	ERS1973336
2538.1001151	ERS1973337
2538.1001152	ERS1973338
2538.1001153	ERS1973339
2538.1001154	ERS1973340
2538.1002730	ERS1973636
2538.1003608	ERS1973745
2538.1001157	ERS1973343
2538.1000314	ERS1973019
2538.1002630	ERS1973616
2538.1002631	ERS1973617
2538.1003904	ERS1973780
2538.1000018	ERS1972948
2538.1003321	ERS1973689
2538.1003320	ERS1973688
2538.1003323	ERS1973691
2538.1003322	ERS1973690
2538.1003325	ERS1973693
2538.1003324	ERS1973692
2538.1003327	ERS1973695
2538.1003326	ERS1973694
2538.1003329	ERS1973697
2538.1003328	ERS1973696
2538.1003108	ERS1973638
2538.1003907	ERS1973783
2538.1003629	ERS1973756
2538.1003105	ERS1973637
