# Constructed from biom file
#OTU ID	G22445_stitched
K08996	72.0
K08990	550.0
K08993	25.0
K08992	551.0
K08999	8219.0
K08998	30182.0
K08344	1.0
K08345	0.0
K08346	0.0
K14940	35.0
K02724	0.0
K08349	0.0
K11815	0.0
K05929	0.0
K05928	0.0
K05927	2.0
K05924	0.0
K05922	2.0
K05921	84.0
K00349	9450.0
K00698	0.0
K00340	9051.0
K00341	9053.0
K00690	12161.0
K00343	8590.0
K00344	385.0
K00697	3713.0
K00346	9450.0
K00347	9450.0
K09116	821.0
K09117	23627.0
K05337	5669.0
K09118	53.0
K09119	0.0
K02106	70.0
K05823	164.0
K05820	553.0
K05826	0.0
K05827	0.0
K02100	0.0
K02101	0.0
K00524	0.0
K00525	26344.0
K00526	14161.0
K00527	42765.0
K00520	90.0
K00522	0.0
K00523	99.0
K02451	0.0
K00528	24143.0
K00529	41.0
K00025	0.0
K14215	0.0
K14213	0.0
K03453	26664.0
K00796	15420.0
K05339	0.0
K00027	22655.0
K00794	28506.0
K00793	28481.0
K01347	7.0
K01346	0.0
K01344	0.0
K01343	0.0
K00791	40908.0
K01340	0.0
K00790	39198.0
K02694	0.0
K02696	0.0
K02697	0.0
K02690	0.0
K02691	9.0
K02692	0.0
K02693	0.0
K02698	0.0
K02699	0.0
K00836	92.0
K00837	6266.0
K00835	105.0
K00832	1150.0
K00833	2872.0
K00830	31.0
K00831	21832.0
K00839	48.0
K04335	0.0
K04334	0.0
K01120	2.0
K01126	39898.0
K04333	0.0
K01129	33185.0
K01128	0.0
K04339	0.0
K04338	0.0
K02470	52838.0
K02471	1987.0
K02472	7524.0
K02473	1.0
K02474	4763.0
K02475	0.0
K02476	0.0
K02477	16057.0
K02478	42.0
K02479	1.0
K09019	31.0
K01267	19086.0
K13074	0.0
K13075	0.0
K11441	0.0
K14055	550.0
K13299	0.0
K13292	24499.0
K14057	24.0
K14056	24.0
K02856	3266.0
K02585	1130.0
K12211	0.0
K12210	0.0
K12213	0.0
K12212	0.0
K12215	0.0
K02854	90.0
K12217	0.0
K12216	0.0
K12219	0.0
K12218	0.0
K02855	90.0
K08692	0.0
K08693	0.0
K08690	0.0
K08691	0.0
K08696	0.0
K08697	0.0
K11748	25.0
K11749	22123.0
K11746	0.0
K11747	552.0
K11744	25.0
K11745	16.0
K11742	275.0
K11743	1003.0
K11740	0.0
K11741	3112.0
K13920	10.0
K13921	10.0
K13922	1498.0
K13923	0.0
K13924	66.0
K13925	12.0
K13926	149.0
K13927	1360.0
K13928	24.0
K13929	24.0
K09923	551.0
K09922	3345.0
K06201	24622.0
K06200	19303.0
K06207	31293.0
K06206	6970.0
K06205	550.0
K09924	1186.0
K09929	540.0
K06208	730.0
K00759	29637.0
K00758	44.0
K00752	66.0
K00757	29746.0
K00756	5984.0
K00754	15301.0
K06001	6692.0
K05557	0.0
K09766	10778.0
K05554	0.0
K07475	0.0
K07150	6983.0
K07151	2.0
K07152	119.0
K07153	551.0
K07154	20200.0
K07155	0.0
K07156	31.0
K07157	16.0
K07406	3448.0
K07407	48798.0
K07404	6472.0
K07405	9175.0
K07402	35518.0
K07403	1192.0
K07400	551.0
K07401	24.0
K01808	35588.0
K01809	17399.0
K01800	96.0
K01801	1.0
K01802	17187.0
K01803	32129.0
K01804	9752.0
K01805	5324.0
K01807	3264.0
K09718	0.0
K14668	0.0
K14669	0.0
K14666	0.0
K14667	0.0
K01664	154.0
K01665	8336.0
K01666	18094.0
K01667	2558.0
K01660	0.0
K01661	9000.0
K01662	45501.0
K01663	0.0
K01668	803.0
K01669	141.0
K02863	32258.0
K02862	0.0
K02860	31953.0
K02867	32721.0
K02866	0.0
K02864	22869.0
K02869	0.0
K05362	164.0
K05365	1102.0
K03402	30769.0
K03403	0.0
K03400	0.0
K03406	156005.0
K03407	14118.0
K03404	970.0
K03405	277.0
K03408	16430.0
K03409	964.0
K02315	39647.0
K02314	34390.0
K02317	24.0
K02316	32721.0
K02313	32515.0
K02312	27.0
K02319	0.0
K12405	0.0
K12152	91.0
K12151	24.0
K07091	983.0
K07090	47127.0
K07093	37.0
K07092	0.0
K07095	46083.0
K07094	16.0
K07097	18.0
K07096	273.0
K07099	6009.0
K07098	37373.0
K11175	29193.0
K11174	0.0
K11177	16.0
K11176	0.0
K11173	0.0
K11179	859.0
K11178	16.0
K00322	26.0
K00320	4.0
K00321	0.0
K00326	0.0
K00324	747.0
K00325	671.0
K00329	274.0
K05945	429.0
K05944	0.0
K05947	0.0
K05946	21427.0
K06944	0.0
K06945	81.0
K06946	1.0
K06415	948.0
K06940	7595.0
K06941	34456.0
K06942	32258.0
K06943	0.0
K10806	794.0
K10807	0.0
K10804	360.0
K10805	559.0
K06948	686.0
K06949	32496.0
K06418	396.0
K09138	17.0
K09139	0.0
K09134	1339.0
K09135	0.0
K09136	1171.0
K09137	171.0
K09130	0.0
K09131	586.0
K09132	4034.0
K09133	342.0
K05808	29783.0
K05809	550.0
K05804	1301.0
K05805	727.0
K05806	0.0
K05807	10180.0
K05800	453.0
K05801	7747.0
K05802	526.0
K05803	550.0
K01044	4.0
K01045	0.0
K01046	578.0
K02068	978.0
K04561	885.0
K01042	4155.0
K05568	6331.0
K05567	1098.0
K14273	0.0
K14275	0.0
K14274	7.0
K02062	550.0
K05245	0.0
K05564	17.0
K01048	11507.0
K02066	10973.0
K01322	4782.0
K01325	0.0
K02065	10973.0
K01326	0.0
K05560	17.0
K02243	668.0
K08930	0.0
K02679	550.0
K02676	99.0
K02674	18.0
K02675	0.0
K02672	115.0
K02241	1011.0
K02670	198.0
K02671	114.0
K00810	1.0
K00811	10007.0
K00812	8935.0
K00813	647.0
K00814	0.0
K00817	29817.0
K00818	5882.0
K00819	3351.0
K02530	637.0
K02245	668.0
K02244	174.0
K01499	0.0
K01498	0.0
K01493	31471.0
K01492	3176.0
K01491	67963.0
K01497	3359.0
K01496	939.0
K01495	15430.0
K01494	2028.0
K02418	12843.0
K02419	13554.0
K14492	0.0
K02412	3702.0
K02413	13053.0
K02410	13554.0
K02411	1735.0
K02416	13554.0
K02417	12986.0
K02414	9894.0
K02415	358.0
K00120	0.0
K00121	1311.0
K00430	0.0
K13058	0.0
K13059	0.0
K13727	24.0
K13057	1.0
K13722	0.0
K13051	3034.0
K13052	18285.0
K00435	0.0
K12054	0.0
K03239	0.0
K03238	0.0
K03231	0.0
K03230	275.0
K03232	0.0
K12059	49.0
K03237	0.0
