# sample	original read count	reads mapping to OTU with taxonomy	reads mapping to unclassifed OTU
ERR2172954	14953	13158	662
ERR2172953	6159	4881	794
ERR2172952	8591	8246	113
ERR2172818	50906	47491	1070
ERR2172819	76949	73167	1064
ERR2172816	57989	53891	1138
ERR2172817	195815	185035	2678
ERR2172814	69439	51414	8309
ERR2172815	50456	47095	1036
ERR2172812	88576	81539	2533
ERR2172813	72992	67651	1853
ERR2172810	179317	163362	5954
ERR2172811	101261	94472	2236
ERR2172881	59035	54007	1994
ERR2172880	114858	105007	2291
ERR2173118	46	33	6
ERR2173061	22381	20773	693
ERR2173067	17442	15659	437
ERR2172890	12957	11827	377
ERR2172889	11966	9575	1102
ERR2172869	73504	66224	1833
ERR2172888	14249	13266	355
ERR2172922	19997	17798	791
ERR2172923	8704	7380	398
ERR2172920	26459	23814	1204
ERR2172921	15566	13667	731
ERR2172926	4	4	0
ERR2172927	10639	9932	269
ERR2172924	10238	9267	512
ERR2172925	10417	9611	340
ERR2172751	62394	57432	1655
ERR2172928	59060	51879	3276
ERR2172929	21	12	4
ERR2172750	102979	94005	2975
ERR2172885	3396	3221	57
ERR2172884	20544	19141	470
ERR2172887	17969	16614	515
ERR2172886	16077	1604	11609
ERR2172449	167862	156351	4025
ERR2172448	146657	135579	3201
ERR2172883	20681	19371	499
ERR2172882	25095	23169	662
ERR2172445	98924	90049	1754
ERR2172444	210552	190496	4850
ERR2172447	147408	137145	3125
ERR2172446	104603	38966	36653
ERR2172441	183874	154921	9059
ERR2172440	80310	74429	1513
ERR2172443	86196	70576	4184
ERR2172442	67724	61952	1128
ERR2172364	86107	77991	2351
ERR2172863	158751	143074	3467
ERR2172366	113680	102740	3009
ERR2172367	89729	79061	2635
ERR2172360	78883	71714	1689
ERR2172361	106462	96534	3135
ERR2172362	109103	98254	2732
ERR2172862	3	1	2
ERR2172500	123646	115151	2590
ERR2172368	78749	70865	2182
ERR2172369	121473	111317	2883
ERR2172665	69151	64460	1509
ERR2172664	149798	138243	4949
ERR2173097	15039	13921	514
ERR2173096	19902	18615	559
ERR2173091	21549	20098	740
ERR2173090	24779	23064	834
ERR2173093	15229	14193	432
ERR2173092	5362	5094	71
ERR2172544	167378	153406	5053
ERR2172759	66613	60919	1951
ERR2172546	38403	23188	6462
ERR2172547	17	15	2
ERR2173099	19224	17841	642
ERR2173098	12005	11249	381
ERR2172542	144200	126328	7831
ERR2172543	46897	41575	1198
ERR2173062	14952	13863	386
ERR2173008	28393	24626	1725
ERR2173009	23162	20958	848
